#\*l [nm]	Flux [mW/m\sp2\ep/nm]
 298.90  0.00000e+00
 298.92  0.00000e+00
 298.93  0.00000e+00
 298.95  0.00000e+00
 298.96  0.00000e+00
 298.98  0.00000e+00
 298.99  0.00000e+00
 299.01  0.00000e+00
 299.02  0.00000e+00
 299.04  0.00000e+00
 299.05  0.00000e+00
 299.07  0.00000e+00
 299.08  0.00000e+00
 299.10  0.00000e+00
 299.11  0.00000e+00
 299.13  0.00000e+00
 299.14  0.00000e+00
 299.16  0.00000e+00
 299.17  0.00000e+00
 299.19  0.00000e+00
 299.20  0.00000e+00
 299.22  0.00000e+00
 299.23  0.00000e+00
 299.25  0.00000e+00
 299.26  0.00000e+00
 299.28  0.00000e+00
 299.29  0.00000e+00
 299.31  0.00000e+00
 299.32  0.00000e+00
 299.34  0.00000e+00
 299.35  0.00000e+00
 299.37  0.00000e+00
 299.38  0.00000e+00
 299.40  0.00000e+00
 299.41  0.00000e+00
 299.43  0.00000e+00
 299.44  0.00000e+00
 299.46  0.00000e+00
 299.47  0.00000e+00
 299.49  0.00000e+00
 299.50  0.00000e+00
 299.52  0.00000e+00
 299.53  0.00000e+00
 299.55  0.00000e+00
 299.56  0.00000e+00
 299.58  0.00000e+00
 299.59  0.00000e+00
 299.61  0.00000e+00
 299.62  0.00000e+00
 299.64  0.00000e+00
 299.65  0.00000e+00
 299.67  0.00000e+00
 299.68  0.00000e+00
 299.70  0.00000e+00
 299.71  0.00000e+00
 299.73  0.00000e+00
 299.74  0.00000e+00
 299.76  0.00000e+00
 299.77  0.00000e+00
 299.79  0.00000e+00
 299.80  0.00000e+00
 299.82  0.00000e+00
 299.83  0.00000e+00
 299.85  0.00000e+00
 299.86  0.00000e+00
 299.88  0.00000e+00
 299.89  0.00000e+00
 299.91  0.00000e+00
 299.92  0.00000e+00
 299.94  0.00000e+00
 299.95  0.00000e+00
 299.97  0.00000e+00
 299.98  0.00000e+00
 300.00  0.00000e+00
 300.01  0.00000e+00
 300.03  0.00000e+00
 300.04  0.00000e+00
 300.06  0.00000e+00
 300.07  0.00000e+00
 300.09  0.00000e+00
 300.10  0.00000e+00
 300.12  0.00000e+00
 300.13  0.00000e+00
 300.15  0.00000e+00
 300.16  0.00000e+00
 300.18  0.00000e+00
 300.19  0.00000e+00
 300.21  0.00000e+00
 300.22  0.00000e+00
 300.24  0.00000e+00
 300.25  0.00000e+00
 300.27  0.00000e+00
 300.28  0.00000e+00
 300.30  0.00000e+00
 300.31  0.00000e+00
 300.33  0.00000e+00
 300.34  0.00000e+00
 300.36  0.00000e+00
 300.37  0.00000e+00
 300.39  0.00000e+00
 300.40  0.00000e+00
 300.42  0.00000e+00
 300.43  0.00000e+00
 300.45  0.00000e+00
 300.46  0.00000e+00
 300.48  0.00000e+00
 300.49  0.00000e+00
 300.51  0.00000e+00
 300.52  0.00000e+00
 300.54  0.00000e+00
 300.55  0.00000e+00
 300.57  0.00000e+00
 300.58  0.00000e+00
 300.60  0.00000e+00
 300.61  0.00000e+00
 300.63  0.00000e+00
 300.64  0.00000e+00
 300.66  0.00000e+00
 300.67  0.00000e+00
 300.69  0.00000e+00
 300.70  0.00000e+00
 300.72  0.00000e+00
 300.73  0.00000e+00
 300.75  0.00000e+00
 300.76  0.00000e+00
 300.78  0.00000e+00
 300.79  0.00000e+00
 300.81  0.00000e+00
 300.82  0.00000e+00
 300.84  0.00000e+00
 300.85  0.00000e+00
 300.87  0.00000e+00
 300.88  0.00000e+00
 300.90  0.00000e+00
 300.91  0.00000e+00
 300.93  0.00000e+00
 300.94  0.00000e+00
 300.96  0.00000e+00
 300.97  0.00000e+00
 300.99  0.00000e+00
 301.00  0.00000e+00
 301.02  0.00000e+00
 301.03  0.00000e+00
 301.05  0.00000e+00
 301.06  0.00000e+00
 301.08  0.00000e+00
 301.09  0.00000e+00
 301.11  0.00000e+00
 301.12  0.00000e+00
 301.14  0.00000e+00
 301.15  0.00000e+00
 301.17  0.00000e+00
 301.18  0.00000e+00
 301.20  0.00000e+00
 301.21  0.00000e+00
 301.23  0.00000e+00
 301.24  0.00000e+00
 301.26  0.00000e+00
 301.27  0.00000e+00
 301.29  0.00000e+00
 301.30  0.00000e+00
 301.32  0.00000e+00
 301.33  0.00000e+00
 301.35  0.00000e+00
 301.36  0.00000e+00
